timestamp,open,high,low,close,volume
2019-07-16,370.0900,371.3400,365.7305,369.0841,2667721
2019-07-15,372.9400,373.6800,362.3000,366.6000,7944680
2019-07-12,378.6800,379.7375,372.7917,373.2500,6636937
2019-07-11,381.1000,384.5400,378.8000,379.5000,4336287
2019-07-10,382.7700,384.3399,377.4000,381.0000,5878790
2019-07-09,379.0600,384.7600,377.5000,379.9300,6932822
2019-07-08,378.1900,378.2500,375.3600,376.1600,3113402
2019-07-05,378.2900,381.4000,375.5550,380.5500,3732162
2019-07-03,376.6900,381.9900,375.8400,381.7200,3799009
2019-07-02,374.8900,376.0000,370.3100,375.4300,3628962
2019-07-01,373.5000,376.6600,372.0000,374.6000,5001518
2019-06-28,370.2600,371.5448,364.8700,367.3200,4592706
2019-06-27,363.2000,370.8500,363.2000,370.0200,4138575
2019-06-26,361.6000,366.7900,361.6000,362.2000,3669677
2019-06-25,370.7500,370.9994,358.2900,360.3000,5750383
2019-06-24,370.2700,375.0000,370.2000,371.0400,4830240
2019-06-21,365.0000,371.4500,365.0000,369.2100,7448356
2019-06-20,365.9100,370.1200,361.2150,365.2100,5899467
2019-06-19,361.7200,364.7400,356.1200,363.5200,5667156
2019-06-18,355.5700,361.5000,353.7500,357.1200,5428542
2019-06-17,342.6900,351.7700,342.0600,350.6200,5358219
2019-06-14,341.6300,343.4000,336.1550,339.7300,5019011
2019-06-13,347.2300,348.5000,339.2500,343.4300,6209347
2019-06-12,351.8200,353.6100,343.2300,345.5600,4584704
2019-06-11,355.0000,357.5800,348.5000,351.2700,5396712
2019-06-10,363.6500,367.1000,349.2850,352.0100,7810261
2019-06-07,357.3900,365.1500,355.6900,360.8700,4777321
2019-06-06,354.8400,358.2100,352.0900,357.1300,3709955
2019-06-05,354.3800,357.8800,348.7100,355.7300,5020081
2019-06-04,345.0000,353.6100,343.2500,353.4000,7891632
2019-06-03,343.5600,347.6600,332.6500,336.6300,7849589
2019-05-31,347.2200,349.3400,342.9200,343.2800,5023449
2019-05-30,350.5500,354.2100,348.3000,351.8500,4008042
2019-05-29,353.6000,353.8476,345.9000,349.1900,5658913
2019-05-28,354.3900,361.2000,353.6400,354.7800,4717144
2019-05-24,355.4100,359.4400,353.7910,354.3900,3830963
2019-05-23,355.5000,357.4200,347.7000,352.2100,5630443
2019-05-22,358.0100,370.4600,357.3000,359.7300,6229389
2019-05-21,350.9500,356.4250,349.9300,354.2700,4026369
2019-05-20,351.2300,352.4180,345.4000,348.1100,4621515
2019-05-17,356.3900,359.6200,353.7850,354.4500,4725448
2019-05-16,356.3700,364.0000,353.9350,359.3100,6441463
2019-05-15,343.3400,356.5000,341.3900,354.9900,6340118
2019-05-14,348.7100,349.9500,342.5000,345.6100,5353029
2019-05-13,352.2900,354.2600,343.1000,345.2600,8026697
2019-05-10,361.6200,365.2578,353.0600,361.0400,5657123
2019-05-09,360.9000,364.2000,352.7500,362.7500,5882572
2019-05-08,367.9200,369.0000,361.3600,364.3700,6571957
2019-05-07,377.0000,379.9100,365.8100,370.4600,6974924
2019-05-06,377.6900,381.3500,376.0000,378.6700,5793144
2019-05-03,381.5300,385.0300,378.2717,385.0300,5130301
2019-05-02,378.0000,383.5000,374.5100,379.0600,5398167
2019-05-01,374.0000,385.9900,373.1746,378.8100,9257284
2019-04-30,369.5600,374.5000,368.3480,370.5400,3870095
2019-04-29,373.6800,374.5753,369.1150,371.8300,3821703
2019-04-26,368.3500,375.1400,366.2400,374.8500,5621901
2019-04-25,374.4900,374.7600,365.7000,368.3300,6255496
2019-04-24,381.0700,381.9000,373.2698,374.2300,6541872
2019-04-23,375.4500,384.8000,374.7069,381.8900,10089820
2019-04-22,359.7000,377.6900,359.0000,377.3400,11980534
2019-04-18,355.0000,360.4100,351.6400,360.3500,8353165
2019-04-17,365.0500,368.7640,350.6000,354.7400,18054101
2019-04-16,355.0000,364.4787,352.7200,359.4600,18740232
2019-04-15,350.7100,352.2100,342.2700,348.8700,8842344
2019-04-12,360.6900,361.7500,349.3600,351.1400,15646199
2019-04-11,365.0000,370.1200,360.8100,367.6500,6526899
2019-04-10,365.7900,368.8481,362.2500,363.9200,4545561
2019-04-09,360.5400,366.7400,359.0000,364.7100,5439228
2019-04-08,365.1100,365.9400,359.9300,361.4100,4653810
2019-04-05,369.0000,369.8000,364.6600,365.4900,3905493
2019-04-04,370.0700,372.0500,362.4000,367.8800,4627305
2019-04-03,369.2600,373.4105,366.1900,369.7500,5376623
2019-04-02,366.2500,368.4200,362.2200,367.7200,5158742
2019-04-01,359.0000,368.3300,358.5100,366.9600,7036097
2019-03-29,357.1600,358.2500,353.7100,356.5600,4705636
2019-03-28,354.4850,355.9400,349.2000,354.6100,4360960
2019-03-27,361.0000,362.4700,350.3700,353.3700,7852370
2019-03-26,367.8700,368.3800,358.0200,359.9700,7666475
2019-03-25,359.0000,367.0399,357.4400,366.2300,8473845
2019-03-22,375.9500,376.4300,360.0400,361.0100,8661346
2019-03-21,374.0000,379.0000,370.6100,377.8700,8544017
2019-03-20,358.9100,375.9000,357.0100,375.2200,10917165
2019-03-19,366.4000,366.9600,356.8000,358.7800,7541425
2019-03-18,362.4700,370.9705,361.8600,363.4400,7194726
2019-03-15,361.0200,364.0000,358.8900,361.4600,8443210
2019-03-14,360.5000,363.8400,358.1008,358.8200,5271429
2019-03-13,355.8100,362.4800,352.7650,361.2100,6444092
2019-03-12,359.3700,360.1300,353.8000,356.2700,5164571
2019-03-11,352.0000,358.9800,350.0300,358.8600,5387285
2019-03-08,345.7500,349.9200,342.4700,349.6000,6898838
2019-03-07,360.1600,362.8600,350.5000,352.6000,6151331
2019-03-06,353.6000,359.8800,351.7000,359.6100,6211895
2019-03-05,351.4600,356.1700,348.2500,354.3000,5937754
2019-03-04,359.7200,362.2500,348.0436,351.0400,7486996
2019-03-01,362.2600,362.8700,354.6915,357.3200,5526539
2019-02-28,362.4700,366.3900,357.7090,358.1000,6186763
2019-02-27,363.5000,368.0300,359.8000,362.8700,5629945
2019-02-26,362.9800,365.7000,359.3300,364.9700,4944593
2019-02-25,367.0100,371.4900,363.7900,363.9100,7569320
2019-02-22,360.3400,366.1300,360.0500,363.0200,7088214
